# Dirsearch started Mon Aug  8 14:45:32 2022 as: /Users/jiangmengwei/files/tools/b-路径扫描/newDirsearch/dirsearch/dirsearch.py -u https://www.baidu.com

302   231B   https://www.baidu.com:443/.htgroup    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.html    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd-old    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htm    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd.bak    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd.inc    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd_test    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.httr-oauth    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswd/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htpasswds    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/.htusers    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
301   234B   https://www.baidu.com:443/2002    -> REDIRECTS TO: http://www.baidu.com/2002/
301   234B   https://www.baidu.com:443/2005    -> REDIRECTS TO: http://www.baidu.com/2005/
301   234B   https://www.baidu.com:443/2006    -> REDIRECTS TO: http://www.baidu.com/2006/
301   234B   https://www.baidu.com:443/2007    -> REDIRECTS TO: http://www.baidu.com/2007/
301   234B   https://www.baidu.com:443/2009    -> REDIRECTS TO: http://www.baidu.com/2009/
301   234B   https://www.baidu.com:443/2008    -> REDIRECTS TO: http://www.baidu.com/2008/
301   234B   https://www.baidu.com:443/2004    -> REDIRECTS TO: http://www.baidu.com/2004/
301   233B   https://www.baidu.com:443/app    -> REDIRECTS TO: http://www.baidu.com/app/
302   231B   https://www.baidu.com:443/app/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   231B   https://www.baidu.com:443/app/.htaccess    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
302   208B   https://www.baidu.com:443/c    -> REDIRECTS TO: http://cache.baidu.com/c
301   235B   https://www.baidu.com:443/cache    -> REDIRECTS TO: http://www.baidu.com/cache/
200     7KB  https://www.baidu.com:443/cache/
302   231B   https://www.baidu.com:443/cert/    -> REDIRECTS TO: http://www.baidu.com/forbiddenip/forbidden.html
200   305B   https://www.baidu.com:443/crossdomain.xml
301   233B   https://www.baidu.com:443/css    -> REDIRECTS TO: http://www.baidu.com/css/
